time.ms,stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,pm.vbat,drone_id,node_name,wind_speed,global_wind_direction,relative_wind_direction,travel_dist,waiting_time
0,1.327018141746521,-0.3188495337963104,-0.010878697969019413,0.6149101853370667,0.798130214214325,0.5980511903762817,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.05640966013589926,[100|0|0]
100,1.3328330516815186,-0.30899307131767273,-0.00700804777443409,0.4174221456050873,0.6495348811149597,0.5916174650192261,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.06849042845061208,[200|0|0]
200,1.3332405090332031,-0.3090609908103943,-0.006772375199943781,0.41916534304618835,0.6420733332633972,0.5989826917648315,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.06896600821605658,[300|0|0]
300,1.326825499534607,-0.31890326738357544,-0.010948408395051956,0.6196443438529968,0.8122233152389526,0.5961368680000305,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.08143444870621874,[400|0|0]
400,1.326962947845459,-0.31916457414627075,-0.010601873509585857,0.6695379018783569,0.8305882811546326,0.5901483297348022,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.08188970653342371,[500|0|0]
500,1.333523154258728,-0.30822890996932983,-0.006907572038471699,0.40121006965637207,0.6396011710166931,0.6192221641540527,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.09516648786532045,[600|0|0]
600,1.333184838294983,-0.3072603940963745,-0.006245598196983337,0.18735745549201965,0.5005816221237183,0.5949400067329407,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.09638742605143229,[700|0|0]
700,1.3270257711410522,-0.3189288079738617,-0.010547063313424587,0.5924936532974243,0.768614649772644,0.5339401364326477,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.11026505527154493,[800|0|0]
800,1.333505392074585,-0.30814769864082336,-0.0066795325838029385,0.28573352098464966,0.572781503200531,0.6083985567092896,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.12342467532068652,[900|0|0]
900,1.3334698677062988,-0.30852922797203064,-0.006945873145014048,0.3184431195259094,0.6014832854270935,0.6332287192344666,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.12389132712434728,[1000|0|0]
1000,1.3330796957015991,-0.308562308549881,-0.007014917209744453,0.3215447664260864,0.6123365163803101,0.6242358088493347,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.12428893949935188,[1100|0|0]
1100,1.3336690664291382,-0.30866575241088867,-0.00638543302193284,0.337218701839447,0.6081459522247314,0.6365479826927185,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.12515744904424184,[1200|0|0]
1200,1.3329651355743408,-0.3087441325187683,-0.00722671439871192,0.5021777749061584,0.7571035623550415,0.6357905268669128,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.12625718375978112,[1300|0|0]
1300,1.3329516649246216,-0.30920591950416565,-0.007161393761634827,0.48170194029808044,0.7200403809547424,0.6291833519935608,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.12672376222468748,[1400|0|0]
1400,1.3331670761108398,-0.30890733003616333,-0.006720576900988817,0.46162667870521545,0.6968769431114197,0.6308257579803467,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.12729811155582635,[1500|0|0]
1501,1.333141565322876,-0.309293270111084,-0.006952749099582434,0.45987287163734436,0.6815970540046692,0.6240437626838684,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.12774922625469137,[1600|0|0]
1600,1.3333415985107422,-0.30876269936561584,-0.006908394396305084,0.4298763871192932,0.6529014110565186,0.6189513206481934,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.12831798449146456,[1700|0|0]
1700,1.3331514596939087,-0.3091679811477661,-0.0067486148327589035,0.43948274850845337,0.657538115978241,0.6045950055122375,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.12879331132800625,[1800|0|0]
1801,1.3331488370895386,-0.3085536062717438,-0.0067139905877411366,0.3941277861595154,0.6298710107803345,0.6035299301147461,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.12940866667630851,[1900|0|0]
1901,1.333360195159912,-0.3084995448589325,-0.006940485443919897,0.43284884095191956,0.6490994691848755,0.6137288808822632,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.1297231420968784,[2000|0|0]
2001,1.3331650495529175,-0.3084816634654999,-0.007179541513323784,0.44418200850486755,0.6671966314315796,0.5950202345848083,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.13003225268627844,[2100|0|0]
2101,1.3335373401641846,-0.3086780905723572,-0.006730696186423302,0.459196537733078,0.663036584854126,0.6065801978111267,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.13064759489596858,[2200|0|0]
2201,1.3333172798156738,-0.3086734712123871,-0.006848285906016827,0.47476327419281006,0.6741253137588501,0.6090935468673706,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.13089714496634983,[2300|0|0]
2301,1.3330774307250977,-0.30764853954315186,-0.006155998446047306,0.23902301490306854,0.5108702778816223,0.6193197965621948,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.13215701576928265,[2400|0|0]
2401,1.3336615562438965,-0.3082917630672455,-0.006536469329148531,0.26572757959365845,0.5278053879737854,0.6197920441627502,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.1331055394730177,[2500|0|0]
2501,1.3336485624313354,-0.3085618317127228,-0.00651558069512248,0.3103865385055542,0.5598458647727966,0.619419276714325,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.1333767262121225,[2600|0|0]
2601,1.3333014249801636,-0.3087615370750427,-0.006573071703314781,0.327515572309494,0.5847457051277161,0.6338575482368469,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.13378131471636898,[2700|0|0]
2702,1.333347201347351,-0.3086918294429779,-0.006473161280155182,0.3351482152938843,0.5899505615234375,0.6078738570213318,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.13391145587979122,[2800|0|0]
2801,1.333545446395874,-0.30849382281303406,-0.006636300124228001,0.33239632844924927,0.5917441844940186,0.6100658178329468,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.13423568112126852,[2900|0|0]
2902,1.333266258239746,-0.3086220920085907,-0.006943107582628727,0.34491410851478577,0.6038854122161865,0.6257339715957642,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.13466988133957936,[3000|0|0]
3002,1.3335940837860107,-0.3088173568248749,-0.006649264134466648,0.34108999371528625,0.5881379842758179,0.6369454264640808,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.1351514848168197,[3100|0|0]
3100,1.3334319591522217,-0.3090548813343048,-0.006650839000940323,0.37717029452323914,0.6116086840629578,0.6317319869995117,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.13543906918646725,[3200|0|0]
3200,1.3336983919143677,-0.3086457848548889,-0.0066918665543198586,0.3876327574253082,0.6319649815559387,0.6061681509017944,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.13592899735094807,[3300|0|0]
3302,1.333338975906372,-0.3086853623390198,-0.0069777751341462135,0.4111954867839813,0.6544277667999268,0.6002942323684692,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.13638996368385314,[3400|0|0]
3402,1.333325982093811,-0.3087632656097412,-0.006965198088437319,0.42205601930618286,0.6583054065704346,0.6186833381652832,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.1364699383100338,[3500|0|0]
3500,1.3334234952926636,-0.3082018494606018,-0.006995370611548424,0.3954646587371826,0.6408216953277588,0.6263442039489746,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.13704055840923804,[3600|0|0]
3600,1.3335270881652832,-0.3086570203304291,-0.006773530971258879,0.4587709307670593,0.6747889518737793,0.6275257468223572,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.1375573996130915,[3700|0|0]
3700,1.333428978919983,-0.308666855096817,-0.006937067490071058,0.47774946689605713,0.6961288452148438,0.6354877352714539,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.1377483612312992,[3800|0|0]
3800,1.3332308530807495,-0.30888664722442627,-0.006836817599833012,0.49195802211761475,0.7094488143920898,0.6212129592895508,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.13806079117228384,[3900|0|0]
3900,1.3332195281982422,-0.3089098036289215,-0.006772509776055813,0.4987289607524872,0.7152894139289856,0.6360908150672913,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.1381300729753198,[4000|0|0]
4000,1.3336364030838013,-0.3080371618270874,-0.006502820178866386,0.25532370805740356,0.5441981554031372,0.6305460333824158,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.1391340753973041,[4100|0|0]
4100,1.333743929862976,-0.308514267206192,-0.006663218140602112,0.3134405016899109,0.5714756846427917,0.6427958011627197,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.1396487782796928,[4200|0|0]
4200,1.3334081172943115,-0.30836841464042664,-0.006880445405840874,0.3226238191127777,0.5896731615066528,0.6655572056770325,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.1400744903149661,[4300|0|0]
4300,1.3335237503051758,-0.3082389831542969,-0.006868876516819,0.3511732220649719,0.6066824793815613,0.6481742858886719,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.14024843669175072,[4400|0|0]
4400,1.3334589004516602,-0.30874869227409363,-0.00654560187831521,0.372521311044693,0.61545729637146,0.6330443620681763,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.14085549136985206,[4500|0|0]
4500,1.333763599395752,-0.30859488248825073,-0.006792792119085789,0.3683304190635681,0.6144235730171204,0.6213847994804382,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.14127691978830995,[4600|0|0]
4600,1.333675742149353,-0.30863702297210693,-0.007038691081106663,0.3714217245578766,0.6218905448913574,0.6221338510513306,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.14154142123565452,[4700|0|0]
4700,1.3359829187393188,-0.31030896306037903,-0.012806478887796402,-0.2808435559272766,-0.13605408370494843,0.08984660357236862,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.14797460269268312,[4800|0|0]
4800,1.333847999572754,-0.30797746777534485,-0.003674234263598919,-1.0080890655517578,-0.023272443562746048,0.41627228260040283,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.15763853781188206,[4900|0|0]
4900,1.3338087797164917,-0.3077388107776642,-0.005159888882189989,-0.967872679233551,0.31321200728416443,0.6178721785545349,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.1591437504232457,[5000|0|0]
5000,1.3335233926773071,-0.3080965280532837,-0.00572357140481472,-0.6619468331336975,0.5839799046516418,0.6947207450866699,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.15986979821624817,[5100|0|0]
5100,1.3332915306091309,-0.3080689013004303,-0.0062406472861766815,-0.40658679604530334,0.7154619097709656,0.743970513343811,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.1604371523589302,[5200|0|0]
5200,1.333040714263916,-0.30809471011161804,-0.006758413277566433,-0.19030356407165527,0.7865779399871826,0.7707104682922363,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.16101304866522298,[5300|0|0]
5300,1.3332486152648926,-0.3078369200229645,-0.006673477590084076,-0.05799243226647377,0.787980854511261,0.7833730578422546,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.16135494430284236,[5400|0|0]
5400,1.3329722881317139,-0.30842551589012146,-0.0066882031969726086,0.08846131712198257,0.8073288798332214,0.7498564124107361,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.1620053431211556,[5500|0|0]
5500,1.333094596862793,-0.30878108739852905,-0.006587759591639042,0.2030222862958908,0.8106845617294312,0.7316665053367615,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.16239454671972817,[5600|0|0]
5600,1.3330912590026855,-0.30849531292915344,-0.006538518238812685,0.26250624656677246,0.8062698841094971,0.6696751117706299,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.16268455171879745,[5700|0|0]
5700,1.3332098722457886,-0.30863767862319946,-0.00658636586740613,0.32463696599006653,0.8004838824272156,0.6764051914215088,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.16287593219805968,[5800|0|0]
5800,1.3331705331802368,-0.3086714744567871,-0.006870650220662355,0.3656924366950989,0.7983172535896301,0.6808752417564392,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.16316490851880705,[5900|0|0]
5900,1.3332000970840454,-0.30881887674331665,-0.00662698270753026,0.39102405309677124,0.7831475138664246,0.6627494692802429,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.16345122183571445,[6000|0|0]
6000,1.3331106901168823,-0.3089308738708496,-0.006624345667660236,0.41841429471969604,0.7747463583946228,0.6553690433502197,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.16359455332678396,[6100|0|0]
6100,1.333349347114563,-0.30897825956344604,-0.006475367117673159,0.42049217224121094,0.7471734881401062,0.6513793468475342,4.17578125,2,"['F2', 'B2', 'A1']",7.6,270,0,0.16387985522786605,[6200|0|0]
