time.ms,stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,pm.vbat,drone_id,node_name,wind_speed,global_wind_direction,relative_wind_direction,travel_dist,waiting_time,curr_node_role
0,0.8008859753608704,-0.7992043495178223,0.0073766326531767,-0.2235881239175796,-0.136780247092247,3.8358657360076895,4.08984375,1,G1,7.6,180,270.0,0.0,[6200|0|0|0],start
100,0.8008913993835449,-0.7991373538970947,0.0074369912035763,-0.229667842388153,-0.1339083313941955,3.837810516357422,4.08984375,1,fly,7.6,180,270.0,9.033818586280918e-05,[6200|0|0|0],fly
200,0.8003138303756714,-0.79903644323349,0.0068864347413182,-0.248634323477745,-0.152727872133255,3.7684247493743896,3.078125,1,fly,7.6,180,270.0,0.0008946275237377,[6200|0|0|0],fly
300,0.8001031875610352,-0.7980033755302429,0.0138596482574939,-2.541555404663086,3.4439377784729004,5.465032577514648,3.46875,1,fly,7.6,180,270.0,0.007947095603568,[6200|0|0|0],fly
400,0.787104070186615,-0.7898361682891846,0.0485525354743003,-8.465392112731934,18.324846267700195,8.86870002746582,3.658203125,1,fly,7.6,180,270.0,0.0458848966741414,[6200|0|0|0],fly
500,0.741646409034729,-0.7711856961250305,0.0947353169322013,-6.943637847900391,13.508045196533203,9.85304355621338,3.630859375,1,fly,7.6,180,270.0,0.1133169986177544,[6200|0|0|0],fly
600,0.6775360107421875,-0.7456486225128174,0.1478337794542312,0.4192487299442291,-5.692314624786377,8.6782865524292,3.59375,1,fly,7.6,180,270.0,0.2003901404015864,[6200|0|0|0],fly
700,0.6223577857017517,-0.7203502655029297,0.2122362852096557,4.596427917480469,-10.462654113769531,9.600510597229004,3.63671875,1,fly,7.6,180,270.0,0.2888905705338191,[6200|0|0|0],fly
800,0.5962380766868591,-0.7011514902114868,0.2895277142524719,7.840113162994385,-14.15392017364502,9.045680046081545,3.62109375,1,fly,7.6,180,270.0,0.3727046336449383,[6200|0|0|0],fly
900,0.5831974744796753,-0.6901752948760986,0.3586021065711975,10.486810684204102,-9.981338500976562,9.52017593383789,3.63671875,1,fly,7.6,180,270.0,0.4438510028015426,[6200|0|0|0],fly
1000,0.589599609375,-0.6886352896690369,0.4266424179077148,8.43311595916748,-9.718064308166504,6.745151996612549,3.59375,1,fly,7.6,180,270.0,0.5122091984625307,[6200|0|0|0],fly
1100,0.6095497608184814,-0.6981751322746277,0.5108979344367981,3.178944826126098,-4.276115417480469,3.3877921104431152,3.642578125,1,fly,7.6,180,270.0,0.599318378260873,[6200|0|0|0],fly
1200,0.6361557841300964,-0.7099414467811584,0.601879894733429,2.0573296546936035,-1.17207932472229,2.517169237136841,3.626953125,1,fly,7.6,180,270.0,0.6948382386719022,[6200|0|0|0],fly
