time.ms,stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,pm.vbat,drone_id,node_name,wind_speed,global_wind_direction,relative_wind_direction,travel_dist,waiting_time
0,1.325547695159912,-0.30985352396965027,-0.0054419864900410175,0.3287896513938904,0.8278906941413879,-0.12188643962144852,4.11328125,2,"['F2', 'B2', 'A1']",6.1,90,0,0.061708369824540525,[100|0|0]
100,1.3254961967468262,-0.30967769026756287,-0.005573906935751438,0.32314634323120117,0.8182728290557861,-0.1388930231332779,4.11328125,2,"['F2', 'B2', 'A1']",6.1,90,0,0.06193414090625066,[200|0|0]
200,1.3256651163101196,-0.3102037310600281,-0.005412510596215725,0.3571086823940277,0.8216466903686523,-0.17325548827648163,4.11328125,2,"['F2', 'B2', 'A1']",6.1,90,0,0.06250972887747332,[300|0|0]
300,1.3254863023757935,-0.3102264404296875,-0.005307379644364119,0.38546517491340637,0.8468633890151978,-0.15234234929084778,4.11328125,2,"['F2', 'B2', 'A1']",6.1,90,0,0.06271839764757742,[400|0|0]
400,1.3257249593734741,-0.3101126551628113,-0.00521868048235774,0.3991090953350067,0.8488053679466248,-0.16552002727985382,4.10546875,2,"['F2', 'B2', 'A1']",6.1,90,0,0.06299727358924445,[500|0|0]
500,1.3257195949554443,-0.3103111982345581,-0.005085531622171402,0.4161364734172821,0.850554883480072,-0.1628628969192505,4.11328125,2,"['F2', 'B2', 'A1']",6.1,90,0,0.06323639018692931,[600|0|0]
600,1.3259996175765991,-0.3102930784225464,-0.005771777592599392,0.3997003138065338,0.8501424789428711,-0.13859421014785767,4.11328125,2,"['F2', 'B2', 'A1']",6.1,90,0,0.06397779056990358,[700|0|0]
700,1.326185703277588,-0.31068214774131775,-0.005695783533155918,0.4271691143512726,0.8567859530448914,-0.13539966940879822,4.11328125,2,"['F2', 'B2', 'A1']",6.1,90,0,0.06441571512960809,[800|0|0]
800,1.3262298107147217,-0.3105885684490204,-0.005413959268480539,0.4287668764591217,0.8576293587684631,-0.1383204609155655,4.11328125,2,"['F2', 'B2', 'A1']",6.1,90,0,0.06471592749796956,[900|0|0]
900,1.3261996507644653,-0.31066474318504333,-0.005648366175591946,0.43413305282592773,0.8599829077720642,-0.16987353563308716,4.11328125,2,"['F2', 'B2', 'A1']",6.1,90,0,0.06496423942098005,[1000|0|0]
1000,1.3260945081710815,-0.31070464849472046,-0.005584642291069031,0.43503129482269287,0.8641089200973511,-0.1363295614719391,4.11328125,2,"['F2', 'B2', 'A1']",6.1,90,0,0.06509349936118809,[1100|0|0]
1100,1.3260482549667358,-0.3109021782875061,-0.005646090023219585,0.4395647943019867,0.8623449206352234,-0.1252152919769287,4.11328125,2,"['F2', 'B2', 'A1']",6.1,90,0,0.0653054738920559,[1200|0|0]
1200,1.3261504173278809,-0.3103709816932678,-0.005789726972579956,0.41307705640792847,0.8589410781860352,-0.1036580502986908,4.11328125,2,"['F2', 'B2', 'A1']",6.1,90,0,0.06586515106953113,[1300|0|0]
1300,1.3256367444992065,-0.3102237582206726,-0.005545143503695726,0.41184377670288086,0.866740345954895,-0.12658357620239258,4.11328125,2,"['F2', 'B2', 'A1']",6.1,90,0,0.06645282070380935,[1400|0|0]
1400,1.325838565826416,-0.31073763966560364,-0.005793078802525997,0.4137374460697174,0.8780104517936707,-0.12230280041694641,4.11328125,2,"['F2', 'B2', 'A1']",6.1,90,0,0.06705802967595621,[1500|0|0]
1500,1.3260380029678345,-0.31060004234313965,-0.005617739167064428,0.4090209901332855,0.870891273021698,-0.11534793674945831,4.11328125,2,"['F2', 'B2', 'A1']",6.1,90,0,0.06735711525616733,[1600|0|0]
