time.ms,stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,pm.vbat,drone_id,node_name,wind_speed,global_wind_direction,relative_wind_direction,travel_dist,waiting_time
0,1.694684624671936,1.1758297681808472,-0.04301532357931137,0.4553792476654053,0.7806811332702637,-0.6555594801902771,4.12890625,0,"['A1', 'F1', 'E2']",7.6,90,0,0.06656751347989685,[100|0|0]
100,1.6950953006744385,1.1758419275283813,-0.0432007797062397,0.45166271924972534,0.7722908854484558,-0.6616145372390747,4.12890625,0,"['A1', 'F1', 'E2']",7.6,90,0,0.0670182868195911,[200|0|0]
200,1.694720983505249,1.1755931377410889,-0.04307042434811592,0.47003331780433655,0.7890491485595703,-0.6781142950057983,4.12890625,0,"['A1', 'F1', 'E2']",7.6,90,0,0.06748626355063937,[300|0|0]
300,1.6946882009506226,1.17544424533844,-0.04312707856297493,0.4852339029312134,0.7887125611305237,-0.6562749743461609,4.12890625,0,"['A1', 'F1', 'E2']",7.6,90,0,0.06764890838921625,[400|0|0]
400,1.6948133707046509,1.1756914854049683,-0.043564099818468094,0.4728783071041107,0.7826770544052124,-0.6445543766021729,4.12890625,0,"['A1', 'F1', 'E2']",7.6,90,0,0.06816638563081559,[500|0|0]
500,1.6949729919433594,1.1759337186813354,-0.04308461397886276,0.45909392833709717,0.7795974016189575,-0.623755693435669,4.12890625,0,"['A1', 'F1', 'E2']",7.6,90,0,0.06872679848792046,[600|0|0]
600,1.6951184272766113,1.1760013103485107,-0.043491020798683167,0.45293381810188293,0.7674025893211365,-0.6400178670883179,4.12890625,0,"['A1', 'F1', 'E2']",7.6,90,0,0.06916370416747404,[700|0|0]
700,1.6947754621505737,1.1761475801467896,-0.04322786256670952,0.4524209201335907,0.7792097330093384,-0.6280238628387451,4.12890625,0,"['A1', 'F1', 'E2']",7.6,90,0,0.0696200726442798,[800|0|0]
800,1.694827914237976,1.1762478351593018,-0.04320622608065605,0.4558826982975006,0.7793894410133362,-0.6337233781814575,4.12890625,0,"['A1', 'F1', 'E2']",7.6,90,0,0.06973526998164238,[900|0|0]
900,1.695198655128479,1.1759207248687744,-0.04311542212963104,0.4714713394641876,0.7687317728996277,-0.6154647469520569,4.12890625,0,"['A1', 'F1', 'E2']",7.6,90,0,0.07023795806344017,[1000|0|0]
1000,1.6949214935302734,1.1762968301773071,-0.04328833147883415,0.4612066447734833,0.776297926902771,-0.6192482709884644,4.12890625,0,"['A1', 'F1', 'E2']",7.6,90,0,0.07073612610503678,[1100|0|0]
1100,1.695164680480957,1.176304817199707,-0.043198950588703156,0.46519774198532104,0.7728492021560669,-0.593470573425293,4.12890625,0,"['A1', 'F1', 'E2']",7.6,90,0,0.07099534151551658,[1200|0|0]
1200,1.695099949836731,1.1758348941802979,-0.0430661104619503,0.4208160936832428,0.7396608591079712,-0.5898200869560242,4.12890625,0,"['A1', 'F1', 'E2']",7.6,90,0,0.07148795109697868,[1300|0|0]
1300,1.6948708295822144,1.1761143207550049,-0.04305330663919449,0.42104899883270264,0.755582869052887,-0.5859239101409912,4.12890625,0,"['A1', 'F1', 'E2']",7.6,90,0,0.07184952991212058,[1400|0|0]
