time.ms,stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,pm.vbat,drone_id,node_name,wind_speed,global_wind_direction,relative_wind_direction,travel_dist,waiting_time,curr_node_role
0,0.0043751033954322,0.5145788788795471,0.0,-0.4507765471935272,-0.1200350075960159,9.241168022155762,4.08984375,1,J1,7.6,0,270.0,0.0,[6200|0|0|0],start
100,0.0045073591172695,0.5145788788795471,0.0,-0.4517786204814911,-0.1251398026943206,9.275435447692873,4.0859375,1,fly,7.6,0,270.0,0.0001322557218373,[6200|0|0|0],fly
200,0.0044916225597262,0.5149446725845337,0.0,-0.527971088886261,-0.201350450515747,8.627981185913086,3.078125,1,fly,7.6,0,270.0,0.0004983877661206,[6200|0|0|0],fly
300,0.0048455907963216,0.5128076672554016,0.0,0.0139540480449795,-6.431296348571777,6.529892921447754,3.357421875,1,fly,7.6,0,270.0,0.0026645099439438,[6200|0|0|0],fly
400,0.027414696291089,0.5148223042488098,0.0075211282819509,0.9937145709991456,-19.87874794006348,4.329148769378662,3.505859375,1,fly,7.6,0,270.0,0.0265389870205775,[6200|0|0|0],fly
500,0.083639457821846,0.5169878602027893,0.0567061454057693,1.6994229555130005,-10.269563674926758,2.127333879470825,3.525390625,1,fly,7.6,0,270.0,0.1012723754841727,[6200|0|0|0],fly
600,0.1595903038978576,0.5168558955192566,0.1186209619045257,1.714345932006836,-2.95729923248291,0.253797173500061,3.53125,1,fly,7.6,0,270.0,0.1992621348287817,[6200|0|0|0],fly
700,0.2379956394433975,0.5143072009086609,0.192423865199089,0.4681188762187958,4.615462303161621,0.1055784672498703,3.568359375,1,fly,7.6,0,270.0,0.3069689638645185,[6200|0|0|0],fly
800,0.3058761954307556,0.5106378793716431,0.2742070257663727,-1.0795525312423706,7.4001970291137695,0.85118567943573,3.57421875,1,fly,7.6,0,270.0,0.4133161272214647,[6200|0|0|0],fly
900,0.3590256869792938,0.508463978767395,0.3606602847576141,-1.0041279792785645,9.237366676330566,0.9919654130935668,3.57421875,1,fly,7.6,0,270.0,0.5148235667808977,[6200|0|0|0],fly
1000,0.3960819840431213,0.5071560740470886,0.447821170091629,-2.677922010421753,8.534350395202637,-0.8157732486724854,3.5625,1,fly,7.6,0,270.0,0.609543679212468,[6200|0|0|0],fly
1100,0.4198255538940429,0.5119946002960205,0.5343137979507446,-1.92354702949524,7.326025485992432,-3.1157102584838867,3.55859375,1,fly,7.6,0,270.0,0.6993665221840789,[6200|0|0|0],fly
1200,0.4357226192951202,0.5245991945266724,0.6209345459938049,-0.6209545135498047,5.413190841674805,-3.315447807312012,3.552734375,1,fly,7.6,0,270.0,0.788331383087836,[6200|0|0|0],fly
1301,0.4467713832855224,0.5390966534614563,0.7103062868118286,0.9583593606948853,2.4621615409851074,-1.733493447303772,3.55859375,1,fly,7.6,0,270.0,0.8795430027320752,[6200|0|0|0],fly
1401,0.4579517841339111,0.5523915886878967,0.8071417212486267,1.999262809753418,1.4786721467971802,-0.5431561470031738,3.568359375,1,fly,7.6,0,270.0,0.9779241901022696,[6200|0|0|0],fly
1501,0.4707721471786499,0.5612711310386658,0.908167600631714,2.949558973312378,2.17896032333374,-0.0239155795425176,3.583984375,1,fly,7.6,0,270.0,1.0801466743514998,[6200|0|0|0],fly
1601,0.4843426942825317,0.566872239112854,1.012848138809204,2.2623367309570312,2.565335273742676,-0.7240025997161865,3.57421875,1,fly,7.6,0,270.0,1.1858516753376709,[6200|0|0|0],fly
1701,0.4947986900806427,0.5685575604438782,1.1174346208572388,1.0292414426803589,3.968771696090698,-1.6819440126419067,3.568359375,1,fly,7.6,0,270.0,1.290973035599526,[6200|0|0|0],fly
1802,0.4988449513912201,0.5709251761436462,1.2201650142669678,1.6496392488479614,4.778926372528076,-1.6170915365219116,3.59375,1,fly,7.6,0,270.0,1.393810341888698,[6200|0|0|0],fly
1902,0.495187371969223,0.5715118050575256,1.3195809125900269,2.0199954509735107,4.461363315582275,-2.2482690811157227,3.63671875,1,fly,7.6,0,270.0,1.493295229485215,[6200|0|0|0],fly
2002,0.4832238852977752,0.569484293460846,1.4092031717300415,1.686149001121521,3.2340691089630127,-2.9910686016082764,3.65234375,1,fly,7.6,0,270.0,1.5837351827689965,[6200|0|0|0],fly
