,time.ms,stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,pm.vbat,drone_id,node_name,wind_speed,global_wind_direction,relative_wind_direction,travel_dist,waiting_time
0,0,0.7895406484603882,-0.7897777557373047,0.0086228959262371,0.2990752160549164,-0.25920370221138,-7.993529796600342,4.1640625,2,G1,6.1,90,450.0,0.0,[6200|0|0|0]
1,100,0.7896250486373901,-0.7894392609596252,0.0086660450324416,0.2797340750694275,-0.2573028802871704,-8.010233879089355,4.16015625,2,G1,6.1,90,450.0,0.000351516642224,[6300|0|0|0]
2,200,0.7892084121704102,-0.7894958853721619,0.0081938775256276,0.2665278911590576,-0.2480955570936203,-7.996211528778076,4.16015625,2,G1,6.1,90,450.0,0.0009837621832946,[6400|0|0|0]
3,300,0.7894831299781799,-0.7896122932434082,0.0083169229328632,0.2591342628002167,-0.2528099715709686,-8.005464553833008,4.16015625,2,G1,6.1,90,450.0,0.0013065017666055,[6500|0|0|0]
4,400,0.7893879413604736,-0.7896851897239685,0.0086867474019527,0.2508754432201385,-0.2533069550991058,-7.994275093078613,4.16015625,2,G1,6.1,90,450.0,0.0016952753610744,[6600|0|0|0]
5,500,0.789391040802002,-0.7893152236938477,0.008400828577578,0.2327193170785904,-0.2482264041900634,-7.977750301361084,4.16015625,2,G1,6.1,90,450.0,0.0021628585559317,[6700|0|0|0]
6,600,0.7891753315925598,-0.7894608378410339,0.0084147602319717,0.2299164831638336,-0.2378746122121811,-7.992266178131103,4.1640625,2,G1,6.1,90,450.0,0.0024234886269003,[6800|0|0|0]
7,700,0.7891785502433777,-0.789517879486084,0.0084662782028317,0.2325785011053085,-0.24527208507061,-8.005138397216797,4.16015625,2,G1,6.1,90,450.0,0.0025004185320389,[6900|0|0|0]
8,800,0.7896671295166016,-0.7897170782089233,0.0086462460458278,0.2357487380504608,-0.2625836133956909,-8.02885913848877,4.16015625,2,G1,6.1,90,450.0,0.0030578934300544,[7000|0|0|0]
9,900,0.7892785668373108,-0.7895039916038513,0.0085960794240236,0.2397975772619247,-0.2449127435684204,-8.028359413146973,4.16015625,2,G1,6.1,90,450.0,0.0035038794690086,[7100|0|0|0]
10,1000,0.7894331216812134,-0.7896811366081238,0.0084055373445153,0.2434782981872558,-0.2506025731563568,-8.055839538574219,4.16015625,2,G1,6.1,90,450.0,0.0038064911614062,[7200|0|0|0]
11,1100,0.7894222140312195,-0.7895065546035767,0.0084873614832758,0.2364804297685623,-0.2496834695339203,-8.058342933654785,4.16015625,2,G1,6.1,90,450.0,0.0039996052282786,[7300|0|0|0]
12,1200,0.7894310355186462,-0.7895299792289734,0.0086702583357691,0.2436506301164627,-0.2459853291511535,-8.0226411819458,4.1640625,2,G1,6.1,90,450.0,0.0041842069356579,[7400|0|0|0]
13,1300,0.7895535826683044,-0.7893590927124023,0.008600159548223,0.2385521680116653,-0.245044469833374,-8.006918907165527,4.1640625,2,G1,6.1,90,450.0,0.0044058684917531,[7500|0|0|0]
14,1400,0.7892240285873413,-0.7895017862319946,0.0084334434941411,0.2374297678470611,-0.2318701297044754,-8.000450134277344,4.16015625,2,G1,6.1,90,450.0,0.004801799767989,[7600|0|0|0]
15,1500,0.7895520925521851,-0.7897786498069763,0.0085925217717885,0.2429773211479187,-0.2383355647325515,-8.01380443572998,4.1640625,2,G1,6.1,90,450.0,0.0052596046419254,[7700|0|0|0]
16,1600,0.7893965840339661,-0.7895082831382751,0.0083245877176523,0.2325670272111892,-0.2374615967273712,-7.99920129776001,4.16015625,2,G1,6.1,90,450.0,0.0056707854928281,[7800|0|0|0]
17,1700,0.7894864678382874,-0.7898240685462952,0.0085556264966726,0.237775444984436,-0.2421915829181671,-8.050115585327148,4.16015625,2,G1,6.1,90,450.0,0.0060722558399383,[7900|0|0|0]
18,1800,0.7895757555961609,-0.7895514369010925,0.0083676166832447,0.2295320630073547,-0.2456339448690414,-8.048789024353027,4.1640625,2,G1,6.1,90,450.0,0.0064152543933131,[8000|0|0|0]
19,1900,0.789409875869751,-0.7896767258644104,0.0087705161422491,0.2385132610797882,-0.2458325326442718,-8.027202606201172,4.16015625,2,G1,6.1,90,450.0,0.006868621112459,[8100|0|0|0]
20,2000,0.7894519567489624,-0.7895565032958984,0.0084729716181755,0.235707625746727,-0.2491468042135238,-8.05033016204834,4.16015625,2,G1,6.1,90,450.0,0.007192282988776,[8200|0|0|0]
21,2100,0.7895601391792297,-0.7896711230278015,0.0085721220821142,0.2355372160673141,-0.2504846751689911,-8.042001724243164,4.16015625,2,G1,6.1,90,450.0,0.0073784870050037,[8300|0|0|0]
22,2200,0.7894510626792908,-0.7896144986152649,0.0086596738547086,0.2315899282693863,-0.2529380023479461,-8.031777381896973,4.1640625,2,G1,6.1,90,450.0,0.007529382067277,[8400|0|0|0]
23,2300,0.7891402840614319,-0.7893226146697998,0.0080493036657571,0.2250825017690658,-0.2420372366905212,-8.045042991638184,4.16015625,2,G1,6.1,90,450.0,0.0082739163878421,[8500|0|0|0]
24,2400,0.7894493937492371,-0.7894708514213562,0.0082855615764856,0.2317204028367996,-0.2490785419940948,-8.055092811584473,4.16015625,2,G1,6.1,90,450.0,0.0086902584755402,[8600|0|0|0]
25,2500,0.7894861698150635,-0.7895326614379883,0.0086042592301964,0.2338149696588516,-0.2553390264511108,-8.068910598754883,4.16015625,2,G1,6.1,90,450.0,0.0090169711193948,[8700|0|0|0]
26,2600,0.7894608378410339,-0.7896320819854736,0.0087367873638868,0.2322752475738525,-0.2560859322547912,-8.064326286315918,4.16015625,2,G1,6.1,90,450.0,0.0091845714188873,[8800|0|0|0]
27,2700,0.7899309992790222,-0.7893487215042114,0.0085457758978009,0.2197300940752029,-0.263526439666748,-8.078783988952637,4.16015625,2,G1,6.1,90,450.0,0.0097658031457301,[8900|0|0|0]
28,2800,0.7896726131439209,-0.7895380854606628,0.0085564386099576,0.2299380153417587,-0.2505102753639221,-8.085512161254883,4.16015625,2,G1,6.1,90,450.0,0.0100863273979265,[9000|0|0|0]
29,2900,0.7894299626350403,-0.7895680069923401,0.0086877066642045,0.2317045181989669,-0.2414403706789016,-8.087188720703125,4.16015625,2,G1,6.1,90,450.0,0.0103638267124909,[9100|0|0|0]
30,3001,0.7893805503845215,-0.7893331050872803,0.0081077562645077,0.2260765582323074,-0.2348713874816894,-8.071467399597168,4.16015625,2,G1,6.1,90,450.0,0.010991491385394,[9200|0|0|0]
31,3100,0.7894656658172607,-0.7893947958946228,0.008459297940135,0.2282338291406631,-0.248599961400032,-8.064042091369629,4.16015625,2,G1,6.1,90,450.0,0.0113584136418787,[9300|0|0|0]
32,3200,0.7891916632652283,-0.7895172238349915,0.0082055544480681,0.2323465049266815,-0.2501789927482605,-8.063582420349121,4.16015625,2,G1,6.1,90,450.0,0.0117514171518751,[9400|0|0|0]
33,3301,0.7896630167961121,-0.7894856929779053,0.0089199347421526,0.227660596370697,-0.2569597065448761,-8.05038833618164,4.1640625,2,G1,6.1,90,450.0,0.0126078677053815,[9500|0|0|0]
34,3401,0.7896212339401245,-0.7895508408546448,0.0084356153383851,0.2380525767803192,-0.2479071468114853,-8.065169334411621,4.16015625,2,G1,6.1,90,450.0,0.0130983321156743,[9600|0|0|0]
35,3501,0.7893797159194946,-0.7895457148551941,0.0082522006705403,0.2402506172657013,-0.2359241098165512,-8.069314956665039,4.16015625,2,G1,6.1,90,450.0,0.0134016441176458,[9700|0|0|0]
36,3601,0.7894228100776672,-0.7894530296325684,0.008324141614139,0.2376603186130523,-0.2385348230600357,-8.052010536193848,4.1640625,2,G1,6.1,90,450.0,0.0135266367427389,[9800|0|0|0]
37,3701,0.7895071506500244,-0.7895864248275757,0.008889066055417,0.2362248003482818,-0.2400463670492172,-8.061737060546875,4.1640625,2,G1,6.1,90,450.0,0.0141131921404209,[9900|0|0|0]
38,3800,0.7894407510757446,-0.7893725037574768,0.0084927473217248,0.2317022234201431,-0.2380995601415634,-8.026788711547852,4.16015625,2,G1,6.1,90,450.0,0.0145684279764138,[10000|0|0|0]
39,3901,0.7891744375228882,-0.7894241809844971,0.0083177108317613,0.2312355637550354,-0.2419765889644622,-8.030580520629883,4.16015625,2,G1,6.1,90,450.0,0.0148912765741284,[10100|0|0|0]
40,4001,0.7894418239593506,-0.7896230816841125,0.0082829669117927,0.2352745980024337,-0.2546368241310119,-8.057435989379883,4.16015625,2,G1,6.1,90,450.0,0.0152263349790168,[10200|0|0|0]
41,4100,0.7895084023475647,-0.7895938158035278,0.0087445378303527,0.2375622391700744,-0.259028673171997,-8.056443214416504,4.16015625,2,G1,6.1,90,450.0,0.0156936003066454,[10300|0|0|0]
42,4200,0.789508581161499,-0.7896705269813538,0.0086742313578724,0.2394172698259353,-0.2647199034690857,-8.063529968261719,4.16015625,2,G1,6.1,90,450.0,0.015797656238002,[10400|0|0|0]
43,4300,0.789633572101593,-0.789583146572113,0.0086054038256406,0.2353874891996383,-0.2618861794471741,-8.085095405578613,4.16015625,2,G1,6.1,90,450.0,0.0159649741994341,[10500|0|0|0]
44,4400,0.7896748185157776,-0.7899202108383179,0.0087214922532439,0.2361510246992111,-0.2573465704917907,-8.08738899230957,4.16015625,2,G1,6.1,90,450.0,0.0163238475883315,[10600|0|0|0]
45,4500,0.7895863652229309,-0.7896541953086853,0.008442873135209,0.2323377281427383,-0.2444712966680526,-8.063097953796387,4.16015625,2,G1,6.1,90,450.0,0.0167190903744208,[10700|0|0|0]
46,4600,0.7898550033569336,-0.7895419001579285,0.0086454777047038,0.2257431596517563,-0.2548154890537262,-8.094720840454102,4.16015625,2,G1,6.1,90,450.0,0.0170738089382205,[10800|0|0|0]
47,4700,0.7893304824829102,-0.7895558476448059,0.0082841422408819,0.2292177528142929,-0.2429327964782714,-8.077736854553223,4.16015625,2,G1,6.1,90,450.0,0.017710896057139,[10900|0|0|0]
48,4800,0.7894537448883057,-0.7897824645042419,0.0086680892854928,0.2338519543409347,-0.2499893456697464,-8.05980110168457,4.16015625,2,G1,6.1,90,450.0,0.0181734586525031,[11000|0|0|0]
49,4900,0.7893823981285095,-0.7896655797958374,0.0083065154030919,0.2257881164550781,-0.2458192706108093,-8.060002326965332,4.16015625,2,G1,6.1,90,450.0,0.0185600955204124,[11100|0|0|0]
50,5000,0.7894879579544067,-0.789584755897522,0.0083775008097291,0.2217114865779876,-0.244745671749115,-8.06199836730957,4.16015625,2,G1,6.1,90,450.0,0.0187108081852346,[11200|0|0|0]
51,5100,0.7895904779434204,-0.7899356484413147,0.0086824391037225,0.2273963838815689,-0.2467680722475052,-8.053664207458496,4.16015625,2,G1,6.1,90,450.0,0.0191868578555215,[11300|0|0|0]
52,5200,0.7896257042884827,-0.7896250486373901,0.0086740972474217,0.2201994061470031,-0.2396194040775299,-8.065791130065918,4.16015625,2,G1,6.1,90,450.0,0.0194995601422911,[11400|0|0|0]
53,5300,0.7894870042800903,-0.7895100712776184,0.0086833219975233,0.2177859991788864,-0.2344772070646286,-8.05852222442627,4.16015625,2,G1,6.1,90,450.0,0.0196799557675223,[11500|0|0|0]
54,5400,0.789549708366394,-0.7896753549575806,0.0085235852748155,0.222650334239006,-0.241565853357315,-8.057670593261719,4.16015625,2,G1,6.1,90,450.0,0.0199182125992868,[11600|0|0|0]
55,5500,0.7895156145095825,-0.7897024750709534,0.0085155488923192,0.2250233143568039,-0.2449028491973877,-8.080602645874023,4.16015625,2,G1,6.1,90,450.0,0.0199625124307229,[11700|0|0|0]
56,5600,0.7893680334091187,-0.7897006869316101,0.0082143284380435,0.2272211760282516,-0.2496912181377411,-8.073973655700684,4.16015625,2,G1,6.1,90,450.0,0.020297948178267,[11800|0|0|0]
