,time.ms,stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,pm.vbat,drone_id,node_name,wind_speed,global_wind_direction,relative_wind_direction,travel_dist,waiting_time
0,0,1.8259263038635247,-0.144940510392189,0.0,0.449453741312027,0.5483834743499756,-13.266901969909668,4.0546875,1,B1,0,None,450,0.0,[6200|0|0|0]
1,100,1.8257452249526973,-0.1447099447250366,0.0,0.4360983073711395,0.5492246150970459,-13.283881187438965,4.0546875,1,B1,0,None,450,0.000293172472814,[6300|0|0|0]
2,200,1.8258147239685056,-0.1452206075191497,0.0,0.4438380002975464,0.5405763387680054,-13.287557601928713,4.0546875,1,B1,0,None,450,0.0008085428275005,[6400|0|0|0]
3,300,1.825738310813904,-0.1450213342905044,0.0,0.4354937076568603,0.5385351777076721,-13.297677040100098,4.0546875,1,B1,0,None,450,0.0010219644521098,[6500|0|0|0]
4,400,1.8255839347839355,-0.1452287882566452,0.0,0.4417167007923126,0.5416964292526245,-13.290970802307127,4.0546875,1,B1,0,None,450,0.0012805550681352,[6600|0|0|0]
5,500,1.825627088546753,-0.1447390764951706,0.0,0.4341104328632355,0.544397234916687,-13.261685371398926,4.0546875,1,B1,0,None,450,0.0017721645234672,[6700|0|0|0]
6,600,1.825716257095337,-0.1449232697486877,0.0,0.4356441497802734,0.5427290201187134,-13.258819580078123,4.0546875,1,B1,0,None,450,0.0019768061240713,[6800|0|0|0]
7,700,1.825791597366333,-0.1451395452022552,0.0,0.439700722694397,0.5355760455131531,-13.305289268493652,3.208984375,1,J1,0,None,450,0.0022058284554051,[6800|0|0|0]
8,800,1.825649738311768,-0.1447829902172088,0.0,0.6477622389793396,1.009329915046692,-11.498504638671877,3.326171875,1,J1,0,None,450,0.0025895672320795,[6800|0|0|0]
9,900,1.825259566307068,-0.1448154002428054,0.0103255845606327,0.4438247978687286,-1.4880139827728271,-6.641417026519775,3.537109375,1,J1,0,None,450,0.0129225716897281,[6800|0|0|0]
