,time.ms,stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,pm.vbat,drone_id,node_name,wind_speed,global_wind_direction,relative_wind_direction,travel_dist,waiting_time
0,0,0.6811457276344299,0.3834919035434723,-0.023760562762618,-0.7498886585235596,0.3317200243473053,-3.1683480739593506,4.07421875,0,"['F2', 'B2', 'A1']",7.6,90,0.0,0.0495723986553334,[100|0|0]
1,100,0.6812874674797058,0.3834893107414245,-0.0235236827284097,-0.7282405495643616,0.2214601933956146,-3.3484818935394287,4.07421875,0,"['F2', 'B2', 'A1']",7.6,90,0.0,0.0498484585346491,[200|0|0]
2,200,0.6811986565589905,0.3832698166370392,-0.0242249332368373,-0.6575481295585632,0.3257149457931518,-3.4054760932922363,4.07421875,0,"['F2', 'B2', 'A1']",7.6,90,0.0,0.0505886053559408,[300|0|0]
3,300,0.6814838647842407,0.3836501240730285,-0.0240470487624406,-0.7140286564826965,0.3836002051830292,-3.463089942932129,4.07421875,0,"['F2', 'B2', 'A1']",7.6,90,0.0,0.0510961685183656,[400|0|0]
4,400,0.681355893611908,0.3833430707454681,-0.0243055094033479,-0.686734676361084,0.4597025513648987,-3.491192102432251,4.0703125,0,"['F2', 'B2', 'A1']",7.6,90,0.0,0.0515174288533276,[500|0|0]
5,500,0.6813859343528748,0.3832880556583404,-0.0241856109350919,-0.7197417616844177,0.5005239248275757,-3.5418472290039062,4.07421875,0,"['F2', 'B2', 'A1']",7.6,90,0.0,0.0516527238961771,[600|0|0]
6,600,0.6812595129013062,0.3835465610027313,-0.0240685027092695,-0.7567597031593323,0.5327089428901672,-3.566012382507324,4.07421875,0,"['F2', 'B2', 'A1']",7.6,90,0.0,0.0519634033661307,[700|0|0]
7,700,0.681451141834259,0.3831716179847717,-0.0240201391279697,-0.7736981511116028,0.5442580580711365,-3.608208656311035,4.0703125,0,"['F2', 'B2', 'A1']",7.6,90,0.0,0.0523872464392809,[800|0|0]
8,800,0.6816825866699219,0.383257120847702,-0.0241680238395929,-0.8061943650245667,0.5431742072105408,-3.624777317047119,4.0703125,0,"['F2', 'B2', 'A1']",7.6,90,0.0,0.0526749048121056,[900|0|0]
9,900,0.6816940903663635,0.3834363222122192,-0.0240702684968709,-0.8287527561187744,0.5532476305961609,-3.633859872817993,4.07421875,0,"['F2', 'B2', 'A1']",7.6,90,0.0,0.0528793591373407,[1000|0|0]
10,1000,0.6812689304351807,0.3834093809127807,-0.0244950409978628,-0.8454431295394897,0.5704028606414795,-3.64881443977356,4.0703125,0,"['F2', 'B2', 'A1']",7.6,90,0.0,0.0534809557449589,[1100|0|0]
11,1100,0.681405246257782,0.3833194673061371,-0.0240637175738811,-0.8576952815055847,0.5662620067596436,-3.670065402984619,4.0703125,0,"['F2', 'B2', 'A1']",7.6,90,0.0,0.0539421567382649,[1200|0|0]
