time.ms,stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,pm.vbat,drone_id,node_name,wind_speed,global_wind_direction,relative_wind_direction,travel_dist,waiting_time
0,0.7751450538635254,-0.7821322083473206,0.007972964085638523,-0.3295055031776428,0.010587151162326336,-26.68857765197754,4.07421875,1,G1,6.1,270,0,0.08651861219809903,[100|0|0|0]
100,0.7752659916877747,-0.7823266386985779,0.008276240900158882,-0.33233749866485596,0.008935660123825073,-26.694854736328125,4.07421875,1,G1,6.1,270,0,0.08689862002045248,[200|0|0|0]
200,0.7748557925224304,-0.7821618318557739,0.00832109060138464,-0.329018771648407,0.010836231522262096,-26.673053741455078,4.07421875,1,G1,6.1,270,0,0.08734295789457999,[300|0|0|0]
300,0.7748730778694153,-0.7819831967353821,0.008273189887404442,-0.33315348625183105,0.019364718347787857,-26.66223907470703,4.07421875,1,G1,6.1,270,0,0.08752870979324487,[400|0|0|0]
400,0.7753695845603943,-0.782081663608551,0.008321503177285194,-0.33968016505241394,0.013246490620076656,-26.65389060974121,4.07421875,1,G1,6.1,270,0,0.08803718672809806,[500|0|0|0]
500,0.775269627571106,-0.7821890115737915,0.00869416631758213,-0.33767586946487427,0.017294757068157196,-26.658397674560547,4.07421875,1,G1,6.1,270,0,0.08843767742896992,[600|0|0|0]
600,0.7750659584999084,-0.7823629379272461,0.008515335619449615,-0.3357502520084381,0.02712295576930046,-26.656160354614258,4.07421875,1,G1,6.1,270,0,0.08875972072665368,[700|0|0|0]
700,0.7750042080879211,-0.7823348045349121,0.008201039396226406,-0.32972124218940735,0.024672942236065865,-26.65182876586914,4.07421875,1,G1,6.1,270,0,0.08908125877584412,[800|0|0|0]
800,0.7750138640403748,-0.7822892665863037,0.008381888270378113,-0.3372015655040741,0.02085529826581478,-26.65519905090332,4.07421875,1,G1,6.1,270,0,0.0892680026042915,[900|0|0|0]
901,0.7749627232551575,-0.7822838425636292,0.008511578664183617,-0.34020137786865234,0.022013457491993904,-26.654443740844727,4.07421875,1,G1,6.1,270,0,0.08940751747152809,[1000|0|0|0]
1001,0.7749618887901306,-0.7822245955467224,0.008637546561658382,-0.3401513397693634,0.023832330480217934,-26.645376205444336,4.07421875,1,G1,6.1,270,0,0.08954672528933456,[1100|0|0|0]
1101,0.7748326063156128,-0.7820560336112976,0.008054942823946476,-0.33818021416664124,0.02145528793334961,-26.65397834777832,4.07421875,1,G1,6.1,270,0,0.09016684963129147,[1200|0|0|0]
