time.ms,stateEstimate.x,stateEstimate.y,stateEstimate.z,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,pm.vbat,drone_id,node_name,wind_speed,global_wind_direction,relative_wind_direction,travel_dist,waiting_time
0,1.2932562828063965,-0.3355288803577423,-0.00666316132992506,0.28830528259277344,0.8541462421417236,4.246640205383301,4.1171875,0,"['C1', 'F1', 'J1']",0,None,0,0.059433602529069464,[100|0|0]
100,1.2933194637298584,-0.3359788656234741,-0.0062004742212593555,0.18311019241809845,1.1409739255905151,4.706772327423096,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.060082106907613404,[200|0|0]
200,1.292974591255188,-0.3354664444923401,-0.007833790965378284,-0.18387094140052795,1.1827219724655151,4.899394989013672,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.06182831308846297,[300|0|0]
300,1.2927186489105225,-0.33524569869041443,-0.008594419807195663,-0.3400803804397583,1.1583462953567505,4.960046768188477,4.1171875,0,"['C1', 'F1', 'J1']",0,None,0,0.06266065402093303,[400|0|0]
400,1.2927751541137695,-0.3349307179450989,-0.00886128656566143,-0.4394870698451996,1.0798343420028687,4.990368366241455,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.06307733564362301,[500|0|0]
500,1.2925975322723389,-0.334724485874176,-0.009069268591701984,-0.483280211687088,1.0267363786697388,4.9964423179626465,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.06341988156577985,[600|0|0]
600,1.29213547706604,-0.3347521424293518,-0.009198079816997051,-0.49796047806739807,1.005946397781372,4.971331596374512,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.06390035240826049,[700|0|0]
700,1.2922970056533813,-0.33484530448913574,-0.009632845409214497,-0.4835667908191681,0.9604565501213074,4.943953514099121,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.06437341876099321,[800|0|0]
800,1.2923134565353394,-0.3349855840206146,-0.009401313960552216,-0.4894176125526428,0.9283660650253296,4.920792579650879,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.06464463046831571,[900|0|0]
900,1.2922866344451904,-0.33480900526046753,-0.009440960362553596,-0.49420955777168274,0.8966864943504333,4.887874126434326,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.06482758215660171,[1000|0|0]
1000,1.2922005653381348,-0.33457687497138977,-0.009641711600124836,-0.49482813477516174,0.8776971697807312,4.88320779800415,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.06514631938643699,[1100|0|0]
1100,1.292268991470337,-0.3349493741989136,-0.009127369150519371,-0.4797159731388092,0.8508688807487488,4.861552715301514,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.06578505717734975,[1200|0|0]
1200,1.292421817779541,-0.3350629508495331,-0.009538657031953335,-0.47106510400772095,0.8301066160202026,4.853873252868652,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.06623828257134852,[1300|0|0]
1300,1.2924199104309082,-0.3345547914505005,-0.009684785269200802,-0.4817953407764435,0.8179317712783813,4.830015182495117,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.06676703872925595,[1400|0|0]
1400,1.2926318645477295,-0.33495599031448364,-0.009076525457203388,-0.46517646312713623,0.7982942461967468,4.83693265914917,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.06752589647283506,[1500|0|0]
1500,1.292411208152771,-0.334712952375412,-0.009596512652933598,-0.46794524788856506,0.7970291972160339,4.825148105621338,4.1171875,0,"['C1', 'F1', 'J1']",0,None,0,0.06814083010192656,[1600|0|0]
1600,1.292683720588684,-0.3345926105976105,-0.009226914495229721,-0.4689110219478607,0.7875381112098694,4.821775913238525,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.06861553840119024,[1700|0|0]
1700,1.2926853895187378,-0.334868460893631,-0.009214142337441444,-0.45914843678474426,0.783592700958252,4.817043304443359,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.06889168926422835,[1800|0|0]
1800,1.2922312021255493,-0.33474817872047424,-0.009443746879696846,-0.46168115735054016,0.7900031805038452,4.805638313293457,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.06941463499289909,[1900|0|0]
1900,1.2923575639724731,-0.3350076377391815,-0.009009490720927715,-0.4546292722225189,0.7788747549057007,4.807548522949219,4.1171875,0,"['C1', 'F1', 'J1']",0,None,0,0.06993604146598459,[2000|0|0]
2000,1.2924745082855225,-0.3350691497325897,-0.009260226972401142,-0.4536541998386383,0.781360387802124,4.811919689178467,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.07021946405769275,[2100|0|0]
2100,1.292564868927002,-0.33482638001441956,-0.009395025670528412,-0.4580874741077423,0.7697551846504211,4.805951118469238,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.07051147924669122,[2200|0|0]
2200,1.2925292253494263,-0.3346819579601288,-0.009329072199761868,-0.4641982614994049,0.7648689150810242,4.797090530395508,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.0706742000342204,[2300|0|0]
2300,1.2923552989959717,-0.3349266052246094,-0.009214982390403748,-0.46495571732521057,0.755999743938446,4.7858099937438965,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.07099532173240228,[2400|0|0]
2400,1.2924917936325073,-0.33439889550209045,-0.009783701971173286,-0.46959421038627625,0.7605968117713928,4.791557788848877,4.1171875,0,"['C1', 'F1', 'J1']",0,None,0,0.07178307188225608,[2500|0|0]
2500,1.292619228363037,-0.33492588996887207,-0.00932587031275034,-0.4503438472747803,0.7515102028846741,4.80585241317749,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.0724927003808509,[2600|0|0]
2600,1.2924484014511108,-0.33498692512512207,-0.009249644353985786,-0.44789743423461914,0.7514861822128296,4.794915676116943,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.07268946806347765,[2700|0|0]
2700,1.2924453020095825,-0.3347512483596802,-0.009432440623641014,-0.44284287095069885,0.759372889995575,4.805572509765625,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.07298774246819051,[2800|0|0]
2800,1.292489767074585,-0.33470866084098816,-0.009862006641924381,-0.4453369677066803,0.7547017931938171,4.794407367706299,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.07342169845998903,[2900|0|0]
2900,1.292428731918335,-0.33498266339302063,-0.009113190695643425,-0.43649256229400635,0.7573032379150391,4.805140972137451,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.07422140341197032,[3000|0|0]
3000,1.2924832105636597,-0.33512842655181885,-0.00935249775648117,-0.43466609716415405,0.7539017796516418,4.821441173553467,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.07450685514278667,[3100|0|0]
3100,1.292866587638855,-0.3349762558937073,-0.009013564325869083,-0.44191858172416687,0.731707751750946,4.8120198249816895,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.075040718197663,[3200|0|0]
3200,1.2924542427062988,-0.334753155708313,-0.009471865370869637,-0.4539905786514282,0.7396673560142517,4.816927909851074,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.07569634147667031,[3300|0|0]
3300,1.292705774307251,-0.3350825905799866,-0.009125161916017532,-0.4458909332752228,0.7264731526374817,4.812459468841553,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.07623671057882044,[3400|0|0]
3400,1.2926462888717651,-0.33467331528663635,-0.009527459740638733,-0.4646863341331482,0.7230467200279236,4.794100761413574,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.07681367532859013,[3500|0|0]
3500,1.2923825979232788,-0.33495190739631653,-0.009340150281786919,-0.45533791184425354,0.7348323464393616,4.806737422943115,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.07724056092598716,[3600|0|0]
3600,1.292528510093689,-0.33511433005332947,-0.009329733438789845,-0.44394394755363464,0.7336091995239258,4.811620235443115,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.07745914727414956,[3700|0|0]
3700,1.2924952507019043,-0.334955632686615,-0.009193296544253826,-0.44446781277656555,0.7359575629234314,4.79268741607666,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.07767105779190323,[3800|0|0]
3800,1.292447566986084,-0.3346492350101471,-0.00948051456362009,-0.44891971349716187,0.7317229509353638,4.797914981842041,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.07809372487549034,[3900|0|0]
3900,1.2924972772598267,-0.33502820134162903,-0.009423546493053436,-0.44820255041122437,0.7265201210975647,4.819733619689941,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.07848015980245286,[4000|0|0]
4000,1.2933701276779175,-0.3347356617450714,-0.009356170892715454,-0.46097061038017273,0.7281291484832764,4.804386138916016,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.07940319108005743,[4100|0|0]
4100,1.2933428287506104,-0.334799200296402,-0.009655379690229893,-0.45970889925956726,0.7282766103744507,4.796969890594482,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.07971028761772489,[4200|0|0]
4200,1.293336033821106,-0.334907591342926,-0.009311617352068424,-0.45483866333961487,0.7305821776390076,4.806282043457031,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.0800707974444589,[4300|0|0]
4300,1.2931938171386719,-0.33469924330711365,-0.00951621774584055,-0.4637237787246704,0.74074387550354,4.808563232421875,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.08039559862968017,[4400|0|0]
4400,1.293540120124817,-0.3348202705383301,-0.00926333200186491,-0.46012645959854126,0.7306795716285706,4.797909736633301,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.08084115956649464,[4500|0|0]
4500,1.2933423519134521,-0.3348550498485565,-0.009768066927790642,-0.4567464590072632,0.7373034358024597,4.81684684753418,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.0813843715060684,[4600|0|0]
4600,1.2927452325820923,-0.3348640203475952,-0.009011314250528812,-0.5731717348098755,0.6617870926856995,4.811267375946045,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.08234837699374968,[4700|0|0]
4700,1.2925986051559448,-0.33468154072761536,-0.009351701475679874,-0.5508553385734558,0.6922047138214111,4.804218292236328,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.08276148942015762,[4800|0|0]
4800,1.292486310005188,-0.3348667025566101,-0.009555093944072723,-0.5092248320579529,0.722196638584137,4.807563781738281,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.08305858132512832,[4900|0|0]
4900,1.292792558670044,-0.33463722467422485,-0.009591074660420418,-0.4961417615413666,0.7286611795425415,4.810084819793701,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.08344295478308161,[5000|0|0]
5000,1.2923738956451416,-0.3348802626132965,-0.009499135427176952,-0.4745265245437622,0.7498475909233093,4.815822601318359,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.08393570115887547,[5100|0|0]
5100,1.2923904657363892,-0.3347782492637634,-0.009663303382694721,-0.47200387716293335,0.7568025588989258,4.8096394538879395,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.08412969190356653,[5200|0|0]
5200,1.292546033859253,-0.3349572420120239,-0.009270518086850643,-0.45817914605140686,0.753343939781189,4.8054914474487305,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.08458851663416911,[5300|0|0]
5300,1.2926018238067627,-0.334924578666687,-0.009546360932290554,-0.4567665159702301,0.7513080835342407,4.8114914894104,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.08487183392582659,[5400|0|0]
5400,1.292436122894287,-0.3349243998527527,-0.00930227804929018,-0.4612918496131897,0.7545587420463562,4.804864883422852,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.08516684795624453,[5500|0|0]
5500,1.2927361726760864,-0.33466753363609314,-0.009543140418827534,-0.45675644278526306,0.757806122303009,4.785069942474365,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.08562947610700705,[5600|0|0]
5600,1.2924491167068481,-0.3350580930709839,-0.009342914447188377,-0.4494021534919739,0.769815981388092,4.793100833892822,4.11328125,0,"['C1', 'F1', 'J1']",0,None,0,0.08615390745749665,[5700|0|0]
